,Spécialité,Domaine,Durée (année),Type Diplôme,Diplômés,id_
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,5,4
2,Cuisine,"Tourisme, Hôtellerie et Restauration",2,Technique,10,4
3,Patisserie,"Tourisme, Hôtellerie et Restauration",2,Technique,20,4
1,Architecture,"Architecture, Urbanisme et Aménagement du territoire",4,Licence,35,77
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,40,77
3,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,40,77
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,20,77
5,Plomberie,Métiers du bâtiment et autres,2,Diplome,27,77
6,Electricité,Métiers du bâtiment et autres,2,Diplome,29,77
7,Génie Civil,Sciences de l’Ingénieur,5,Licence,30,77
8,Topographie,Sciences de l’Ingénieur,2,Diplome,23,77
9,Economie,Sciences économiques et politiques,4,Licence,27,77
10,Sciences Informatiques,Sciences Informatiques,4,Licence,28,77
11,Télécommunication,Sciences Informatiques,2,Diplome,25,77
12,Informatique de Gestion,Sciences Informatiques,2,Diplome,30,77
1,Relations publiques,Marketing,2 ans,Technique,25,276
2,Restauration,"Tourisme, Hôtellerie et Restauration",2 ans,Technique,30,276
3,Cuisine,"Tourisme, Hôtellerie et Restauration",9 mois,Technique,20,276
4,Patisserie,"Tourisme, Hôtellerie et Restauration",10 mois,Technique,20,276
5,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2 ans,Technique,25,276
1,Droit,Droit,4,Licence,8,56
2,Gouvernance,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,6,56
3,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,8,56
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,8,56
5,Gestion Touristique,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Licence,10,56
6,Marketing,Marketing,2,Diplome,8,56
7,Diplomatie,Sciences économiques et politiques,4,Licence,15,56
8,Secrétariat,Secrétariat,2,Diplome,15,56
9,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2,Diplome,11,56
1,Photographie / Vidéographie,"Arts, Culture, Design et mode",6 mois,Certificat,40,174
2,Communication,Communication et Journalisme,12 mois,Diplome,20,174
3,Techniques Douanières,Douane,12 mois,Diplome,20,174
4,Anglais,Langues et Lettres,12 mois,Certificat,60,174
5,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",1,Diplome,60,174
6,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",18 mois,Diplome,50,174
7,Enseignement Technique,Sciences de l’Education,2 mois,Certificat,50,174
8,Technique Informatique,Sciences Informatiques,10,Diplome,400,174
9,Dépannage d'ordinateurs,Sciences Informatiques,1,Certificat,150,174
10,Infographie,Sciences Informatiques,1,Certificat,80,174
11,Réseau,Sciences Informatiques,6 mois,Certificat,30,174
12,Secrétariat,Secrétariat,2,Diplome,15,174
13,Assistante Administrative,Secrétariat,2 ans,Diplome,20,174
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",1,Certificat,11,6
2,Mécanique Auto - Diesel,Mécanique,2,Technique,9,6
3,Electricité,Métiers du bâtiment et autres,1,Certificat,29,6
4,Réfrigération,Métiers du bâtiment et autres,1,Technique,7,6
5,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,1,Technique,4,6
1,Mécanique automobile,Mécanique,2,Technique,10 @ 12,175
2,Ferronnerie Soudure,Métiers du bâtiment et autres,1,Technique,10,175
3,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,12 @ 15,175
1,Cordonnerie,"Arts, Culture, Design et mode",1,Technique,134,7
2,Travaux du cuir,"Arts, Culture, Design et mode",1,Technique,100,7
3,Coupe - Confect. masculine,"Arts, Culture, Design et mode",1,Technique,100,7
4,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,100,7
5,Broderie,"Arts, Culture, Design et mode",1,Technique,34,7
6,Electricité Auto,Mécanique,2,Technique,52,7
7,Ferronnerie Soudure,Métiers du bâtiment et autres,2,Technique,117,7
8,Plomberie,Métiers du bâtiment et autres,2,Technique,32,7
9,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,100,7
1,Artisanat,"Arts, Culture, Design et mode",2,Technique,26,8
2,Plomberie,Métiers du bâtiment et autres,2,Technique,23,8
3,Electricité,Métiers du bâtiment et autres,2,Technique,29,8
4,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,39,8
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,20,10
2,Gestion Financière,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,20,10
3,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",1,Certificat,25,10
4,Hôtesse de l'air,Métiers de l'air,1,Technique,20,10
5,Technique Informatique,Sciences Informatiques,2,Diplome,25,10
6,Secrétariat,Secrétariat,2,Technique,25,10
1,Mécanique Industrielle,Mécanique,2,Technique,20,224
2,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2,Technique,85,224
3,Télécommunication,Sciences Informatiques,2,Technique,55,224
4,Réseau,Sciences Informatiques,2,Technique,106,224
1,Techniques Douanières,Douane,1,Technique,2,23
1,Cordonnerie,"Arts, Culture, Design et mode",2 ans,Technique,20-30,24
2,Travaux du cuir,"Arts, Culture, Design et mode",2 ans,Technique,25-30,24
3,Broderie,"Arts, Culture, Design et mode",2 ans,Technique,15-20,24
4,Art - Floral,"Arts, Culture, Design et mode",2 ans,Technique,30-40,24
5,Artisanat,"Arts, Culture, Design et mode",2 ans,Technique,20-30,24
6,Coupe - Confect. masculine,"Arts, Culture, Design et mode",2 ans,Technique,15-20,24
7,Ferronnerie Soudure,Métiers du bâtiment et autres,2 ans,Technique,15-20,24
8,Ebenisterie,Métiers du bâtiment et autres,2 ans,Technique,20-24,24
9,Carrelage,Métiers du bâtiment et autres,2 ans,Technique,30-35,24
10,Cuisine,"Tourisme, Hôtellerie et Restauration",2 ans,Technique,20-30,24
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,6,268
2,Poterie,"Arts, Culture, Design et mode",1,Technique,1,268
3,Carrelage,Métiers du bâtiment et autres,2,Technique,39,268
4,Ebenisterie,Métiers du bâtiment et autres,2,Technique,17,268
5,Arts ménagers,"Tourisme, Hôtellerie et Restauration",1 an,Technique,26,268
1,Electricité Auto,Mécanique,1,Diplome,10,176
2,Mécanique automobile,Mécanique,2,Diplome,10,176
3,Construction Bâtiment,Métiers du bâtiment et autres,2,Diplome,10,176
4,Ferronnerie Soudure,Métiers du bâtiment et autres,1,Diplome,10,176
5,Carrelage,Métiers du bâtiment et autres,1,Diplome,10,176
6,Plomberie,Métiers du bâtiment et autres,2,Diplome,10,176
1,Sciences Infirmières,Santé et Professions médicales,-,Certificat,-,248
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,5,27
2,Technique Informatique,Sciences Informatiques,1,Technique,6,27
3,Dépannage d'ordinateurs,Sciences Informatiques,1,Technique,6,27
4,Secrétariat,Secrétariat,2,Technique,6,27
5,Secrétariat,Secrétariat,1,Technique,6,27
1,Artisanat,"Arts, Culture, Design et mode",1,Certificat,10,177
2,Décoration et Architecture d’intérieur,"Arts, Culture, Design et mode",1,Certificat,15,177
3,Coupe - Confect. masculine,"Arts, Culture, Design et mode",2,Certificat,20,177
4,Cuisine,"Tourisme, Hôtellerie et Restauration",2,Certificat,17,177
5,Patisserie,"Tourisme, Hôtellerie et Restauration",1,Certificat,10,177
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,30,282
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,20,47
2,Technique Informatique,Sciences Informatiques,2,Technique,25,47
3,Secrétariat,Secrétariat,2,Technique,15-20,47
1,Cosmétologie,"Arts, Culture, Design et mode",10 mois,Technique,1,100
2,Technique Informatique,Dactylographie,1,Technique,2,100
3,Anglais,Langues et Lettres,2 ans,Technique,4,100
4,Espagnol,Langues et Lettres,2 ans,Technique,4,100
5,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,2,100
6,Electricité,Métiers du bâtiment et autres,1,Technique,2,100
7,Plomberie,Métiers du bâtiment et autres,1,Technique,2,100
8,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,2,100
9,Carrelage,Métiers du bâtiment et autres,6 mois,Technique,1,100
10,Secrétariat,Secrétariat,2,Technique,2,100
11,Secrétariat,Secrétariat,1,Technique,2,100
1,Mécanique Auto - Diesel,Mécanique,2,Technique,20,45
2,Electricité,Métiers du bâtiment et autres,2,Technique,10,45
3,Plomberie,Métiers du bâtiment et autres,2,Technique,20,45
4,Ebenisterie,Métiers du bâtiment et autres,2,Technique,31,45
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,20,186
2,Technique Informatique,Sciences Informatiques,1,Certificat,14,186
1,Auxiliaire,Santé et Professions médicales,-,Certificat,-,249
1,Auxiliaire,Santé et Professions médicales,4,Diplome,30,251
2,Sciences Infirmières,Santé et Professions médicales,4,Diplome,30,251
1,Agronomie,Agriculture – Agroalimentaire,4 ans,Licence,200,187
2,Technique Agricole,Agriculture – Agroalimentaire,2 ans,Diplome,200,187
3,Chimie,Biologie/Chimie,4 ans,Licence,200,187
4,Techniques Douanières,Douane,2 ans,Diplome,200,187
5,Droit,Droit,4 ans,Licence,200,187
6,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Licence,200,187
7,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Licence,200,187
8,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Diplome,200,187
9,Maths/Physique,Mathématiques/Physique,4 ans,Licence,200,187
10,Sciences Infirmières,Santé et Professions médicales,4 ans,Licence,200,187
11,Auxiliaire,Santé et Professions médicales,2 ans,Diplome,200,187
12,Sciences de l'Education,Sciences de l’Education,4 ans,Licence,200,187
13,Enseignement prescolaire et primaire,Sciences de l’Education,2 ans,Diplome,200,187
14,Génie Civil,Sciences de l’Ingénieur,4 ans,Licence,200,187
15,Génie Electromécanique,Sciences de l’Ingénieur,4 ans,Licence,200,187
16,Topographie,Sciences de l’Ingénieur,2 ans,Diplome,200,187
17,Génie Civil,Sciences de l’Ingénieur,2 ans,Diplome,200,187
18,Diplomatie,Sciences économiques et politiques,4 ans,Licence,200,187
19,Economie,Sciences économiques et politiques,4 ans,Licence,200,187
20,Sciences du Développement,Sciences Humaines et Sociales,4 ans,Licence,200,187
21,Sciences Informatiques,Sciences Informatiques,4,Licence,200,187
22,Télécommunication,Sciences Informatiques,2 ans,Diplome,200,187
23,Réseau,Sciences Informatiques,2 ans,Diplome,200,187
24,Assistante Administrative,Secrétariat,2 ans,Diplome,200,187
1,Technique Informatique,Sciences Informatiques,1,Technique,30,53
1,Secrétariat,Secrétariat,2,Technique,20,61
2,Assistante Administrative,Secrétariat,2,Diplome,24,61
1,Technique Informatique,Sciences Informatiques,1,Technique,35,280
1,Construction Bâtiment,Métiers du bâtiment et autres,3,Certificat,400,178
2,Ferronnerie Soudure,Métiers du bâtiment et autres,3,Certificat,150,178
3,Ebenisterie,Métiers du bâtiment et autres,3,Certificat,200,178
4,Electricité,Métiers du bâtiment et autres,2,Certificat,10,178
5,Plomberie,Métiers du bâtiment et autres,2,Certificat,20,178
1,Sciences de l'Education,Sciences de l’Education,4,Licence,50,34
2,Enseignement fondamental et secondaire,Sciences de l’Education,4 ans,Licence,50,34
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,10 à 15,179
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,10 à 15,179
3,Technique Informatique,Sciences Informatiques,1,Certificat,10 à 15,179
4,Secrétariat,Secrétariat,1,Certificat,10 à 15,179
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,10,166
2,Gestion de Projets,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,8,166
3,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Licence,10,166
4,Sciences de l'Education,Sciences de l’Education,4,Licence,8,166
5,Relations Internationales,Sciences économiques et politiques,4,Diplome,15,166
6,Economie,Sciences économiques et politiques,4,Licence,9,166
1,Technique Agricole,Agriculture – Agroalimentaire,3,Technique,23,287
2,Construction Bâtiment,Métiers du bâtiment et autres,3,Diplome,21,287
3,Menuiserie,Métiers du bâtiment et autres,2 ans 6 mois,Technique,11,287
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",3,Technique,7,65
2,Construction Bâtiment,Métiers du bâtiment et autres,3,Technique,8,65
3,Ebenisterie,Métiers du bâtiment et autres,3,Technique,7,65
1,Mécanique Ajustage,Mécanique,2,Technique,20,39
2,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2,Technique,85,39
3,Réseau,Sciences Informatiques,2,Technique,106,39
1,Cosmétologie,"Arts, Culture, Design et mode",1,Certificat,70,181
2,Construction Bâtiment,Métiers du bâtiment et autres,2,Certificat,70,181
3,Plomberie,Métiers du bâtiment et autres,2,Certificat,70,181
4,Carrelage,Métiers du bâtiment et autres,1,Certificat,70,181
5,Electronique/Autotronique,Métiers du bâtiment et autres,1,Certificat,70,181
6,Electricité,Métiers du bâtiment et autres,2,Certificat,70,181
7,Technique Informatique,Sciences Informatiques,2,Certificat,70,181
1,Ferronnerie Soudure,Métiers du bâtiment et autres,2,Technique,15,38
2,Electricité,Métiers du bâtiment et autres,2,Technique,24,38
3,Ebenisterie,Métiers du bâtiment et autres,2,Technique,34,38
4,Carrelage,Métiers du bâtiment et autres,2,Technique,23,38
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",3,Technique,15,267
1,Cosmétologie,"Arts, Culture, Design et mode",1,Technique,20,307
2,Coupe couture,"Arts, Culture, Design et mode",2,Technique,20,307
3,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,20,307
4,Dépannage d'ordinateurs,Sciences Informatiques,1,Technique,20,307
5,Secrétariat,Secrétariat,2,Technique,20,307
6,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,20,307
7,Patisserie,"Tourisme, Hôtellerie et Restauration",1,Technique,20,307
1,Cosmétologie,"Arts, Culture, Design et mode",1,Technique,7,298
2,Mécanique automobile,Mécanique,2,Technique,10,298
3,Mécanique Ajustage,Mécanique,2,Technique,9,298
4,Plomberie,Métiers du bâtiment et autres,2,Technique,15,298
5,Carrelage,Métiers du bâtiment et autres,2,Technique,9,298
6,Charpenterie,Métiers du bâtiment et autres,2,Technique,10,298
7,Ebenisterie,Métiers du bâtiment et autres,2,Technique,10,298
8,Electricité,Métiers du bâtiment et autres,2,Technique,10,298
9,Réfrigération,Métiers du bâtiment et autres,1,Technique,8,298
10,Electronique/Autotronique,Métiers du bâtiment et autres,2 ans,Technique,8,298
11,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,6,298
12,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2,Technique,15,298
13,Patisserie,"Tourisme, Hôtellerie et Restauration",1,Technique,6,298
1,Mécanique Ajustage,Mécanique,2 ans,Technique,20,213
2,Mécanique Industrielle,Mécanique,2 ans,Technique,25,213
3,Carrelage,Métiers du bâtiment et autres,2 ans,Technique,20,213
4,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,22,213
5,Electricité,Métiers du bâtiment et autres,2 ans,Technique,23,213
6,Electricité,Métiers du bâtiment et autres,2 ans,Technique,24,213
7,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2 ans,Technique,22,213
8,Plomberie,Métiers du bâtiment et autres,2 ans,Technique,22,213
9,Réfrigération,Métiers du bâtiment et autres,2 ans,Technique,21,213
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,32,102
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",-,Technique,-,40
2,Technique Informatique,Sciences Informatiques,-,Technique,-,40
3,Secrétariat,Secrétariat,-,Technique,-,40
1,Techniques Douanières,Douane,1,Certificat,25,183
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,30,183
3,Technique Informatique,Sciences Informatiques,1,Certificat,18,183
4,Secrétariat,Secrétariat,2,Certificat,20,183
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",10,Technique,39,140
2,Techniques de génie civil,Métiers du bâtiment et autres,10,Technique,15,140
3,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2,Technique,14,140
4,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,44,140
5,Télécommunication,Sciences de l’Ingénieur,2,Technique,101,140
6,Technique Informatique,Sciences Informatiques,2,Technique,24,140
1,Administration Scolaire,Sciences de l’Education,-,Diplome,-,57
2,Pédagogie,Sciences de l’Education,-,Diplome,-,57
3,Education Familiale et Sexologie,Sciences de l’Education,-,Diplome,-,57
4,Sciences de l'Education,Sciences de l’Education,-,Licence,-,57
5,Administration Scolaire,Sciences de l’Education,-,Master 1,-,57
6,Pédagogie,Sciences de l’Education,-,Master 1,-,57
7,Pédagogie,Sciences de l’Education,-,Master 1,-,57
8,Education Familiale et Sexologie,Sciences de l’Education,-,Certificat,-,57
1,Planification,"Architecture, Urbanisme et Aménagement du territoire",4,Licence,20,30
2,Statistiques,Sciences économiques et politiques,4,Licence,15,30
3,Economie,Sciences économiques et politiques,4,Licence,30,30
1,Technique Informatique,Sciences Informatiques,1,Certificat,50 à 70,184
1,Techniques Douanières,Douane,2 ans,Technique,12,185
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,20,185
3,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,15,185
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Technique,19,185
5,Marketing,Marketing,2 ans,Technique,20,185
6,Mécanique Auto - Diesel,Mécanique,3,Certificat,18,185
7,Construction Bâtiment,Métiers du bâtiment et autres,3,Certificat,10,185
8,Electricité,Métiers du bâtiment et autres,2,Certificat,12,185
9,Plomberie,Métiers du bâtiment et autres,1,Certificat,17,185
10,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,3 ans,Technique,10,185
11,Technique Informatique,Sciences Informatiques,3,Certificat,20,185
12,Secrétariat,Secrétariat,2,Certificat,15,185
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,16,317
2,Carrelage,Métiers du bâtiment et autres,3 mois,Technique,20,317
3,Plomberie,Métiers du bâtiment et autres,3 mois,Technique,20,317
4,Technique Informatique,Sciences Informatiques,9 mois,Technique,25,317
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,19,242
1,Mécanique Ajustage,Mécanique,3,Technique,25,60
2,Construction Bâtiment,Métiers du bâtiment et autres,3 ans,Technique,35,60
3,Electricité,Métiers du bâtiment et autres,3 ans,Technique,20,60
4,Ebenisterie,Métiers du bâtiment et autres,3 ans,Technique,30,60
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,50-60,372
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,30-40,50
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,20-25,50
3,Marketing,Marketing,2,Diplome,30-35,50
4,Diplomatie,Sciences économiques et politiques,4,Licence,20-25,50
5,Sciences politiques,Sciences économiques et politiques,4,Licence,25-30,50
6,Relations Internationales,Sciences économiques et politiques,2,Diplome,15-20,50
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,10-20,294
2,Electricité,Métiers du bâtiment et autres,2,Technique,10-20,294
3,Plomberie,Métiers du bâtiment et autres,2,Technique,10-20,294
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,21,286
2,Ticketing,Métiers de l'air,1,Technique,23,286
3,Réseau,Sciences Informatiques,2,Technique,10,286
4,Dépannage d'ordinateurs,Sciences Informatiques,1,Technique,15,286
5,Secrétariat,Secrétariat,2,Technique,20,286
1,Artisanat,"Arts, Culture, Design et mode",1,Technique,10,79
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Certificat,30,85
2,Broderie,"Arts, Culture, Design et mode",2,Certificat,15,85
3,Cuisine,"Tourisme, Hôtellerie et Restauration",2,Certificat,20,85
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,30,92
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,44,344
1,Décoration et Architecture d’intérieur,"Arts, Culture, Design et mode",3,Technique,7,90
2,Mécanique Auto - Diesel,Mécanique,3,Technique,30,90
3,Mécanique automobile,Mécanique,3,Technique,8,90
4,Plomberie,Métiers du bâtiment et autres,3,Technique,20,90
5,Réfrigération,Métiers du bâtiment et autres,1 an,Technique,26,90
6,Génie Electronique,Sciences de l’Ingénieur,3 ans,Technique,46,90
7,Télécommunication,Sciences Informatiques,2,Technique,21,90
8,Technique Informatique,Sciences Informatiques,1,Technique,2,90
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,20,88
2,Cosmétologie,"Arts, Culture, Design et mode",10 mois,Technique,40,88
3,Mécanique Ajustage,Mécanique,2,Technique,30,88
4,Mécanique Auto - Diesel,Mécanique,2,Technique,35,88
5,Ferronnerie Soudure,Métiers du bâtiment et autres,2,Technique,36,88
6,Electricité,Métiers du bâtiment et autres,2,Technique,32,88
7,Charpenterie,Métiers du bâtiment et autres,2,Technique,25,88
8,Carrelage,Métiers du bâtiment et autres,4 mois,Technique,35,88
9,Réfrigération,Métiers du bâtiment et autres,2,Technique,25,88
