,id_,institutions,type_formations,telephones,adresses
0,4,Abeille Ecole Ménagère,Technique,2257 7260,"Rue C. Mayard # 207, Pétion-Ville, Port-au-Prince, Ouest"
1,221,Académie de Formation et de Perfectionnement des Cadres (Continue),Universitaire,"3617 8941, 4467 7790, 2227 6837, 4075 1060","12, rue Pacot (entre bellevue et la rue 4) Port-au-Prince, Ouest"
2,77,Académie des Sciences Pures et Appliquées,Universitaire & Technique,"3779 8259,  3925 1735","154, Lalue (ancien local du Collège Latin), Port-au-Prince, Ouest"
3,276,Académie Haïtienne des Arts Culinaires,Technique,"3808 2818, 3701 3469,  2811 0629,  3824 1789","Angle rue Duncombre et Ave Lamartiniere, Bois-Verna, Port-au-Prince, Ouest"
4,56,Académie Nationale Diplomatique et Consulaire,Universitaire,"2227 5543, 44743636","25 Ave N, Port-au-Prince, Ouest"
5,5,Aiguille Enchantée,Technique,34492029,"Cap-Haïtien, Nord"
6,174,Alliance Centre de Form. Profes. et Technique (ACFPT),Technique,"3724 0634, 4890 6607","Rte de Delmas, Port-au-Prince Ouest"
7,340,America English School & Espana,Technique,"3742 1400, 3742 1403","1ère Avenue du Travail # 5, Port-au-Prince, Ouest  Delmas 35 #2, Port-au-Prince, Ouest"
8,6,Apex Centre de Formation Professionnelle,Technique,"2223 6509, 3940 4606, 3940 4607","Autoroute de Delmas, Delmas 50, Port-au-Prince"
9,175,Atelier Ecole Professionnelle d'Ennery (AEPE),Technique,3710 5927,"Rte Cimetière Ennery, Artibonite"
10,7,Atelier Ecole Professionnelle La Gonâve,Technique,"3758 0235, 3635 6528","Anse à Galet, La Gonave, Ouest"
11,8,Ateliers de Petit Goave (Public),Technique,2287 2606,"Petit Goave, Ouest"
12,319,Business and Technology Institute,Technique,"2286 4677, 3315 6678","#78,Rue du Quai,Port-au-Prince, Ouest"
13,10,Business Institute of the West Indies,Technique,"2246 2277, 2246 0684","Delmas 77 # 1 A, Port-au-Prince, Ouest"
14,224,Canado  Technique ou Centre de Formation Professionnelle d’Haiti (CFPH),Technique,2811 9380,"157, Ave. Martin Luther King, Turgeau, Port-au-Prince, Ouest"
15,23,Cargo Freight International School,Technique,3281 0468,"Angle rue Jér,3e imp Lav ,Port-au-Prince Ouest"
16,24,CASM (Public),Technique,2222 5971,"Ruelle Mayard, au Fond, Port-au-Prince, Ouest"
17,320,Centre Cardinal Keeler,Technique,"3632 8134,  3486 7383","Varreux Rte Nle#1, Cité Soleil, Ouest"
18,285,Centre Catholique de Formation Professionnelle de Léogane,Technique,3847-1464/3646-4790/2230-5326/3713-3336,"Rte de Darbonne, Léogane, Ouest"
19,268,Centre d'Apprentissage de St Martin,Technique,2222 5921/ 3721-4156 / 4275-5709,"Campus du Centre Pilote situé à Varreux             (logement Provisoire), Ouest"
20,176,Centre d'Apprentissage des Cayes (CAC),Technique,3461-3452/ 3724-5126 / 3452 3767 4405,"Rue Charpentier, Cayes, Sud"
21,248,Centre d'Apprentissage des Soins Infirmiers des Cayes,Technique,-,"Cayes, Sud"
22,27,Centre d'apprentissage en Informatique,Technique,3766 0487  3758 8515,"Avenue Christophe,Port-au-Prince, Ouest"
23,177,Centre d'Arts Ménagers 1ère Eglise Baptiste de la rue de la Réunion,Technique,"3687 8283, 4774-8020","# 115 Rue de l'enterrement, Port-au-Prince, Ouest"
24,282,Centre d'Arts Ménagers Baptiste Eben-Ezer,Technique,"3670 8678, 3703 9987 , 3703 99 87","#54, Avenue de la Liberté, Jacmel, Sud-Est"
25,289,Centre d'Arts Ménagers Lumière,Technique,"3704 3204, 3452 7882","Simon, Sud"
26,288,Centre d'Atelier Professionnel et de Formation Sociale (Continue),Technique,"3460 3976, 3728 0532","#12, vIL.Espérance, Mirbalais, Centre"
27,266,Centre d'Economie Familliale des Abricots,Technique,3631 9591,"Abricots, Jeremie, Grand'Anse"
28,47,Centre d'Education en Informatique du Sud,Technique,2286 0039,"18, Rue Nicolas Geffrard,Cayes, 
Sud"
29,100,Centre d'Education Technique et Professionnelle de St Marc,Technique,"22792460, 3689 9710",#99 Cité Verna (St Marc) Artibonite
30,46,Centre d'enseignement professionnel des Gonaives,Technique,3862 3279,"34, Descahos, Route Nationale #1, Gonaives, Artibonite"
31,45,Centre d'Etude Professionnelle et Technique,Technique,3794 7583,"30,Toussaint Louverture à Cote des Oblats, Port-au-Prince, Ouest"
32,186,Centre d'Etudes Comm. et de Perfectionnement d'Haiti (CECPH),Technique,3421 7678,"Delmas 75 / Puit Blain,Port-au-Prince, Ouest"
33,249,Centre d'Etudes para Médical pour les Carrières Médicales de Port-au-Prince,Technique,-,"Port-au-Prince, Ouest"
34,251,Centre d'Etudes Supérieures Médicales (CESMED) de Gonaives,Technique,"2258 4096, 3741 5587","115,Avenue des Dattes,Gonaives, Artibonite"
35,187,Centre d'Informatique de Comp. et d'Administration (CINFOCA),Universitaire & Technique,"2222 7606, 2221 2883","16 Bis, Rue 4 Ave Christophe, Port-au-Prince,  
4, rue Marcelin, Delmas 65, Ouest"
36,53,Centre d'informatique et de formation commerciale,Technique,"3287 1099, 3723 8773","774, Rue St-Paul, Petit-Goave, Port-au-Prince, Ouest"
37,61,Centre d'lnformatique de Statistique et d'Administration,Technique,"2245 1748, 4150 3709","316, Route de Bourdon, Port-au-Prince Ouest"
38,280,Centre d'Organisation Départementale pour la Formation Professionnelle Dominique Savio,Technique,3709 2588,"39, Rue de la Ravine,  Jacmel, Sud-Est"
39,178,Centre de Développement sur la Côté Sud d'Haïti,Technique,"3777 9157, 3782 3315","Port-à-Piment, Cayes, Sud"
40,273,Centre de Formation Continue (Continue),Technique,"4309 9271,  2813 1413",Port-au-Prince
41,34,Centre de Formation des Enseignants du Fondamental (Public),Universitaire,2227 5963,"Martissant 1, à côté de l’Église Sainte Bernadette, Port-au-Prince, Ouest"
42,179,Centre de Formation et d'Etudes Professionnelles (CFEP),Technique,"3721 0933,  3813 0440,  3330 1531","423 Autoroute de Delmas, entre delmas 91 et 93. 
Local du Collège Gilbert Albert, Pétion-ville,  Ouest"
43,166,Centre de Formation et de Développement Economique (CFDE),Universitaire,3162 7886,"Angle Delmas 75 et Impasse Hérard # 3;
Port-au-Prince, Ouest"
44,287,Centre de Formation Fritz Lafontant,Technique,"3170 7677, 3427 1053","Corporant(Entre Mirbalais et Cange), Centre"
45,65,Centre de Formation Professionnelle (Public),Technique,3726 9556,Trou du Nord
46,180,Centre de Formation Professionnelle Café-Lampré (CFPCL),Technique,4224 3547,"Café Lompré, Port-au-Prince, Ouest"
47,39,Centre de Formation Professionnelle d'Haiti,Technique,3677 8781,"Rue Martin Luther King, Port-au-Prince Ouest"
48,181,Centre de Formation Professionnelle de la Réforme (CFPR),Technique,3706 9301,"51, Clercine 8 Prolongée, Tabarre, Ouest"
49,38,Centre de Formation Professionnelle Des cayes,Technique,"3720 8584, 32903707","Rue Générale Marion, Les Cayes, Sud"
50,267,Centre de Formation Professionnelle et d'Etudes Commerciales,Technique,3796 2087 / 3666-4198,"Rochasse, (Local du Step-by-Step), Jérémie, Haïti"
51,182,Centre de Formation Professionnelle et Tech.,Technique,3693 5364,"Cap Haitien, Nord"
52,402,Centre de Formation Professionnelle et Technique de Jacmel,Universitaire,+509,zone de Lamandou
53,307,Centre de Formation Professionnelle Juvenile Lilavois,Technique,3711-0363 / 3409-1567 / 3774-6275,"56,entre Tabarre & et 9, Port-au-Prince, Ouest"
54,298,Centre de Formation Professionnelle Mobile Foiet Joie,Technique,"2813 1232, 3484 0021","18 Tabarre 10. Blvd 15 Octobre, Port-au-Prince, Ouest"
55,213,Centre de Formation S.O.S Village (Cap Haïtien),Technique,3702 2075,"Cap Haitien, Nord"
56,102,Centre de Formation Sanitaire et Professionnel,Technique,3354 0342,"64,Rue Alexandre Pétion, Hinche, Centre"
57,40,Centre de Formation Technique et de Communication (Continue),Technique,3702-4259/2811 1944/3656-7324,"8, A. Sanon Clercine 16, Blvd Toussaint Louverture, (5 minutes après l’aéroport international, P-au-P, Haïti"
58,183,Centre de Formation Technique et Fiscal (CFTF),Technique,3728 7272,"3e Avenue du travail, Port-au-Prince"
59,140,Centre de Formation Technique et Professionnelle (Haiti Tec),Technique,"2940 4590, 2813 0109, 2813 0108","Batiment 28, Parc Industriel (SONAPI), Blvd Toussaint Louverture"
60,396,Centre de formation technique et professionnelle du Wharf de Jérémie (Public),Technique,509,"Cite Soleil, Ouest."
61,57,Centre de Recherche et de Formation en Sciences de l’Education et d’Intervention Psychologique (CREFI),Universitaire,2239 0249,"30, Rue Capois, Port-au-Prince, Ouest"
62,30,Centre de Techniques de Planification et d'Economie Appliquée (MPCE),Universitaire,"22 22 35 54, 3872 1282","Angle Rue Joseph Janvier et Blvd Harry Truman, Port-au-Prince"
63,184,Centre de Technologie en Informatique CETINFO,Technique,"3724 5036, 2227 6668","130, Ave Martin Luther King, Port-au-Prince, Ouest"
64,185,Centre de Technologie Moderne d'Haiti (CETEMOH),Technique,2228 7863 / 4978-6543 / 3743-2298,"42, Boulevard Harry Turman, Port-au-Prince, Ouest"
65,317,Centre de Technologies d'Haïti,Technique,4222 8215 / 3406 3792,"64,Duval 22. Carrefour Marasa, Ouest"
66,242,Centre des Etudes Planifiées (CEPLAEP),Technique,"3441 7071, 3112 7253, 3490 0944","9, 3eme Ruelle Riviere, Port-au-Prince, Ouest"
67,60,Centre Diocesain des Arts et Métiers,Technique,4745 2939 / 3728 2921/ 3722-9187,"51, Bergeau, Cayes, Sud"
68,372,Centre du Savoir Universel,Universitaire & Technique,3444-4512,"12, Impasse Lavisse, Avenue Christophe, Port-au-Prince, Ouest"
69,50,Centre d’Etudes Diplomatiques et Internationales,Universitaire,"3401 3549, 4408 1579 , 2226 7893","7, Rue Théodule (Entrée Hotel Christopher), Bourdon, Port-au-Prince, Haïti
P.O. 16064, Pétion-Ville, Haïti"
70,294,Centre Formation Professionnelle Notre Dame d'Altagrace,Technique,"3675 4708, 3463 4802, 3794 2136","386, Route de Delmas, Port-au-Prince, Ouest"
71,286,Centre Informatique de Formation et de Recherche,Technique,3739 5207,"106, Rues 12-13G, Nord"
72,79,Centre ménager La Vallée de Jacmel,Technique,3707 6068,"La vallée de Jacmel, Sud-Est"
73,85,Centre Ménager Marguerite D’Youville,Technique,3775 4446,"146, Avenue Panaméricaine, Pétion-Ville, Port-au-Prince, Ouest"
74,92,Centre Paramedical de Port-au-Prince,Technique,3481-8330,
75,344,Centre Paramédical International,Technique,4746-7309,"Delmas 33 #28, Port-au-Prince, Ouest"
76,90,Centre Pilote de Formation Professionnelle,Technique,"3794 4645, 2234 4842, 2270 5306","Chancerelle - Varreux, Port-au-Prince, Ouest"
77,88,Centre Polyvalent de Formation Professionnelle de Carrefour (Public),Technique,2234-4842/3794-4645,"Carrefour, Port-au-Prince, Ouest"
78,321,Centre pour la Culture et le Développement de Carice,Technique,"4872 6690, 4241 7240","Carice, Nord"
79,91,Centre Pratique de comptabilité D'informatique de Gestion et de Secretariat,Technique,3876 62 58,Port-au-Prince
80,322,Centre Professionnel d'Aquin,Technique,2287 9946,"Présbytère d'Aquin, Sud"
81,305,Centre Professionnel de la Réforme,Technique,3706 9301,"51, Clercine 8 Prolongé, Tabarre, Ouest"
82,323,Centre Professionnel des Jeunes Filles,Technique,3680-7066 /  3814-1857/3488-9921,"Delmas 60, Port-au-Prince, Ouest"
83,296,Centre Professionnel du Sacré-Coeur,Technique,3721 5540,"Rue Paul Eugène Magloire #73, Centre, Centre"
84,315,Centre Professionnel Lumière Céleste,Technique,3776 2587 / 34760576,"45, Marin, Route Nationale #1, Ouest"
85,269,Centre Professionnel Méga-Info,Technique,"3810 9315, 3422 1586","20, Village Solidarité, Route de l'Aéroport,Rue 3, Port-au-Prince, Ouest"
86,94,Centre professionnel Mont des oliviers,Technique,"3710 8972, 3378 1679","Amiral Kilik# 18b,
Nord- Ouest"
87,190,Centre Professionnel N.D du Perpétuel Secours,Technique,3476 7278,"Desmapoux, Cayes, Sud"
88,120,Centre Professionnel Notre Dame du Perpétuel Secours,Technique,"2286 8944, 3137 1028","Port-au-Prince, Ouest"
89,192,Centre Promotion Féminine Educationnelle,Technique,3805 3533,"Delmas 12, Port-au-Prince, Ouest."
90,95,Centre Specialise de leadership CSL (Continue),Technique,3887-3386,Port-au-Prince
91,96,Centre Tech. Secondaire de Hinche,Technique,3324-6298/ 3707-2652,"Hinche, Centre"
92,265,Centre Technique d'Application des Gonaïves,Technique,3821-1934,"147 bis Avenue des Dattes, Gonaives, Artibonite"
93,297,Centre Technique d'Aquin,Technique,"3461 5225, 3455 6830","Rue Monsejour, Sud"
94,25,Centre technique en informatique,Technique,2286 1677,"Rue Toussaint Louverture,Sud"
95,193,Centre Technique et Professionnel d'Haiti (CTPH),Technique,"3446 0929, 3448 9736","129, Ave barranquilla, Jacmel, Sud-est"
96,98,Centre Technique St Gérard,Universitaire & Technique,"2208 9171, 3380 7941","70, Rue Saint-Gérard, Carrefour Feuille
Port-au-Prince, Haïti
Le CTSG est dirigé par Dr. Fresnel Larosiliere )"
97,99,Centre Technique St Joseph (Jérémie),Technique,"2942 2098, 3844 2476, 3733 8486","85, Saint-Louis Rochasse,
Grand'Anse"
98,58,Centre Universitaire de Management et de Productivité,Universitaire,"2942 6453, 2227 1908, 2813-1535","Delmas 30, Port-au-Prince, Ouest"
99,55,Centre Universitaire Maurice Laroche,Universitaire,"2245 6336, 2221 5565, 3898 1079","Angle Rue des Dalles et Ave Ducoste, Port-au-Prince, Ouest"
100,62,CHEMTEK,Universitaire,509 2226 51 11 / 509 3879 47 00,"2, Rue Assad (Turgeau), Port-au-Prince ,Ouest"
101,173,Coeurs Unis Ecole Professionnelle,Technique,3498-4164 / 3715-6660,"153,Ave Magloire Amboise, Port-au-Prince, Ouest"
102,310,Collatech Info Ecole Professionnelle,Technique,4281 2433,"25, Route des Dattes, Gonaïves, Artibonite"
103,76,Collège Universitaire de Christianville,Universitaire,3721 8939/ 3406 2635,"La Colline, Gressier, Ouest"
104,103,Comp-haiti,Technique,-,"Route de Delmas,
Port-au-Prince"
105,194,Complexe de Formation Professionnelle de Poteau (COFOPROP),Technique,"3423 1993, 3780 2159","Poteau, rte Nationale #1, Gonaïves"
106,104,Complexe Technique de Marin,Technique,3409 3814,"3, Route vertailli marin, Port-au-Prince, Ouest"
107,108,Création Marseille,Technique,2288 3275 / 32 75 73 77,"Rue creac Jacmel,
sud'est"
108,109,Diesel Institute of Haiti,Technique,"2245 4252, 3734 4066/ 3744 3737 / 3744 7865","19, Rue Cheriez, Port-au-Prince, Ouest"
109,110,Don Bosco Technique,Technique,3441 5089,"Nord-est, Fort-Liberte"
110,281,Ecole Atelier de Jacmel,Technique,"3376 2227,  3760 7204","39, Avenue de la Liberté, Jacmel, Sud-Est"
111,195,Ecole D'Arts Ménagers Les dix doigts,Technique,3703 4903,"Cité résidentiel # 6, Gonaives, Artibonite"
112,260,Ecole d'Auxiliaire Dr. Edouard Joseph les carrières,Technique,3697-1672,"Hinche, Centre"
113,75,Ecole d'Auxiliaire Marie Louise de Jésus,Technique,4765-7115,"33, Rue Notre Dame, Port-de-Paix, Nord-est"
114,252,Ecole d'Auxiliaire Mercy Pidoux,Technique,3444 2208,"#59, Lalue, Port-au-Prince, Ouest"
115,247,Ecole d'Auxiliaire Myriam,Technique,3946 6551,"Port-au-Prince, Ouest"
116,367,Ecole d'Auxiliaires-Infirmières Désinor Michel,Technique,3792-5392,"28, Route des Dalles, Carrefour-Feuilles, Port-au-Prince, Ouest"
117,364,Ecole d'Infirmières de Petit-Goave,Technique,3795-3574,"55,Rue des Roulottes, La Hatte Petit Goave, OUEST"
118,135,Ecole de Commerce  Julien Craan,Technique,"3443 1974, 3346 4370","4, Angle Avenue Christophe et Rue 6 , Port-au-Prince Ouest"
119,300,Ecole de Commerce et d'Informatique,Technique,3698 1066,"Rue Républicaine de Petit Goave, Ouest"
120,264,Ecole de Communication et Techniques d’Haiti (ECOTECH),Technique,"2943 2244, 4244 3896","7, Rue Lamour Derance, Delmas 89, Port-au-Prince, Ouest"
121,171,Ecole de Formation des Cadres Professionnels Haitiens,Technique,"3420 1542, 3946 5371","Carrefour, Mont repos,
Port-au-Prince, Haiti"
122,28,Ecole de Secrétariat Bilingue Christ Roi / Christ the King (CK),Technique,"3753 0783, 2245 7111","98, Christ Roi, Bourdon, Port-au-Prince, Ouest"
123,29,Ecole de Secrétariat du Diocèse de Jéremie,Technique,3755 2713,"Grand'Anse, Jérémie"
124,197,Ecole de Technique de Travaux d'Application,Technique,"3779 4043, 3402 4275,  3374 8380, 3735 1910","116, Avenue Martin Luther King, Port-au-Prince, Ouest"
125,346,Ecole des Sciences Infirmières de la Grand'Anse,Technique,3706-9521,"112,Rue Rochasse, Jérémie, Grand'Anse"
126,234,Ecole Entreprenariale Agricole de Pandiassou,Technique,-,"Pandiassou, Hinche, Centre"
127,368,Ecole Family Memorial School of Nursing and Technology,Technique,3759-4170,"182, Delmas 28, Port-au-Prince, Ouest"
128,142,Ecole Guirlande Couture,Technique,"2223 0367, 3428 6621","17, Ruelle Alerte, Port-au-Prince, Ouest"
129,172,Ecole Hotelière d'Haiti (MT),Technique,3769 6060,"14, 1ère Impasse Lavaud, Bois Verna, Port-au-Prince"
130,271,Ecole Hoteliere Marie Auxiliatrice,Technique,"2227 5579 , 3622 5232","14, Boulevard Jean-Jacques Dessalines, Port-au-Prince, Ouest"
131,143,Ecole Menagère St-Pierre (Jacmel),Technique,4770 2427,Sud-Est
132,259,Ecole Moyenne de Laboratoire Médicale du Cap-Haitien,Technique,-,"Cap-Haitien, Nord"
133,326,Ecole Nationale Congreganiste de Charpentier,Technique,3353 9065,"Charpentier, Sud"
134,33,Ecole Nationale d'Administration Financière (Public),Universitaire,3779 3738,"Tabarre, Tabarre, Ouest"
135,347,Ecole Nationale d'Infirmières de Jérémie,Technique,3798-6565,"Rue Brouette, en face de l'Evêché, Jérémie, Grand'Anse"
136,348,Ecole Nationale d'Infirmières des Cayes,Technique,3760-8514,"Rue Monseigneur Maurice,Cayes,SUD"
137,349,Ecole Nationale d'Infirmières Notre Dame de la Sagesse du Cap-Haïtien,Technique,4685-4846,"Rue 17 Q, Cap Haitien, NORD"
138,35,Ecole Nationale de Géologie Appliquée (Public),Universitaire,2942 0252,"Building 28, Haiti-Tec, Parc Industriel SONAPI, Route de l'Aéoport, Rte Nationale # 1"
139,32,Ecole Nationale des Arts (UEH),Universitaire,4488 3000,"Rue Mgr Guilloux, Port-au-Prince, Ouest"
140,144,Ecole Nationale des Arts et Métiers,Technique,+509 3228-4920 / 2940-0992,"Portail Leogane, Port-au-Prince, Ouest"
141,36,Ecole Nationale des Infirmières de Port-au-Prince (Public),Universitaire,3443-6328,"Rue Oswald Durand, Local Faculté de Médecine, Port-au-Prince, Ouest;"
142,37,Ecole Nationale Supérieure de Technologie (Public),Universitaire,"2244 0049, 3464 2903","81 bis, Avenue Lamartinière, Bois-Verna, Port–au-Prince"
143,145,Ecole nationale Technique Professionnelle de Port de paix,Technique,3774 6664,Port-de-Paix Nord-ouest
144,20,Ecole Normale Supérieure (UEH),Universitaire,"2222 7458, 2222 3155, (509) 2226-0753","Rue Mgr Guilloux, Port-au-Prince, Ouest"
145,350,Ecole Nouvelle d'Infirmières et d'Auxiliaires de Saint-Marc,Technique,3758-8703,"268 bis, Rue Louverture, Saint Marc, Artibonite"
146,151,Ecole Profesionnelle Jacmel (Public),Technique,3868-0739 / 3770-0270 /3298-3242,"95, Rue Henry Christophe, Jacmel, Sud-Est"
147,376,Ecole Professionnelle Bande du Nord,Technique,3443 4970,"Bande du Nord, Cap haïtien, Cap Haitien"
148,158,Ecole Professionnelle Beraca,Technique,"3789 8840, 3197 2606","La Pointe, Port- de-Paix
Nord-ouest"
149,160,Ecole Professionnelle Cap Haïtien (Public),Technique,3747-7557 4746 1213 3779 2440,Cap Haïtien
150,161,Ecole Professionnelle de Dondon,Technique,"3725 8899, 3733 4325","Dondon, nord"
151,198,Ecole Professionnelle de Haute Technologie d'Haiti (EPROHATA),Technique,3470 1382,"33, Rue Christophe, K-Soleil, Centre Artibonite"
152,328,Ecole Professionnelle de la Grande Rivière du Nord,Technique,3643 9438,"Grande Rivière du Nord, Nord"
153,329,Ecole Professionnelle de Maïssade,Technique,"3360 3508, 3603 7727","Maïssade, Centre"
154,338,Ecole Professionnelle Denise Lecuyer,Technique,3458 6257,"Gros-morne, Artibonite"
155,309,Ecole Professionnelle des Phares,Technique,"339 8863, 4445 7321","51 bis, Santo Gressier, Ouest"
156,375,Ecole Professionnelle Desarmes,Technique,3761 9920,"# 10, Route du marche Desarmes, Verrettes"
157,149,Ecole Professionnelle Fondation Vincent Salésiens de Don Bosco,Technique,3454 9348,"Cap-Haïtien,Route Nationale #1, Nord"
158,162,Ecole Professionnelle Gonaïves (Public),Technique,"2274 0326, 3879 0947, 3330 9104","153, Paul Eugène Magloire,Gonaives, Artibonite"
159,163,Ecole Professionnelle J.B. Damier (Public),Technique,"2222 1126, 3730 7565","28, Rue Montalais, Port-au-Prince, Ouest"
160,164,Ecole Professionnelle Jérémie (Public),Technique,"2284 5382, 3803 9080","123, Source Dommage, Jeremie, Grand'Anse"
161,314,Ecole Professionnelle Mgr Joseph Serge Miot,Technique,3600 7104,"70, Avenue Jean Paul II, Port-au-Prince, Ouest"
162,157,Ecole Professionnelle Milot (Public),Technique,"3840 0393,   3366 9762",Nord
